name,park_name,city_name,state_name,country_name,popularity,length,elevation_gain,difficulty_rating,route_type,visitor_usage,avg_rating,num_reviews,species_count,bio_category_count,abundance_total,conservation_total,features_list,activities_list,principal component 1,principal component 2,principal component 3,principal component 4,Class
Merced Lake Loop Trail,Yosemite National Park,Yosemite Valley,California,United States,8.0031,52142.616,1835.8104,3,loop,3.0,5.0,4,2043,6,749,92,88,85,-0.9177373360270857,-1.1011508491377184,2.393510761019474,-1.1596674396855555,2
Waterwheel Falls and Glen Aulin Trail,Yosemite National Park,Yosemite Valley,California,United States,7.9825,27358.78,722.9856,7,out and back,1.0,4.5,17,2043,6,749,92,80,80,-0.9523220008190826,-1.017206801934367,1.926433373886841,-0.5104676640325546,2
Murphy Creek Trail to Polly Dome Lake,Yosemite National Park,Yosemite Valley,California,United States,7.9674,10299.776,203.9112,1,out and back,2.0,4.5,12,2043,6,749,92,64,65,-1.6371726318683257,0.07045235485573798,-0.4364473224124825,-0.8897226244545507,1
Badger Pass to Glacier Point Trail,Yosemite National Park,Yosemite Valley,California,United States,7.9433,34922.678,756.8184,5,out and back,1.0,5.0,18,2043,6,749,92,71,96,-1.0457272765998749,-0.7989671541711418,1.7837951025448062,-0.9191078122189,2
Valley Loop Trail,Yosemite National Park,Yosemite Valley,California,United States,7.9047,9334.172,63.7032,1,loop,2.0,4.0,29,2043,6,749,92,75,10,-1.7927117258683305,0.001525440148528781,-1.1133207610695897,0.16602168634252232,1
Bridalveil Creek Loop Trail,Yosemite National Park,Yosemite Valley,California,United States,7.8578,9977.908,93.8784,3,loop,2.0,4.5,7,2043,6,749,92,66,103,-1.4015809554181868,-0.013031806812642049,0.43399798418757257,-1.6078389401135615,1
Happy Isles to Cloud's Rest Loop,Yosemite National Park,Yosemite Valley,California,United States,7.8216,34439.876,1941.8808,5,loop,2.0,5.0,8,2043,6,749,92,52,36,-0.9609978265843745,-1.806832834499035,1.3471379958442715,1.1938497271456037,2
Vernal Fall Foot Bridge via Mist and John Muir Trail,Yosemite National Park,Yosemite Valley,California,United States,7.6541,3701.482,169.7736,3,loop,3.0,4.5,20,2043,6,749,92,61,26,-1.6368445473674822,-0.29978855651534436,-0.6808114954149073,0.4994909096944978,1
Mariposa Cabin Trail,Yosemite National Park,Fish Camp,California,United States,7.5645,3379.614,150.876,1,out and back,2.0,5.0,36,2043,6,749,92,67,37,-1.8227358620255707,0.2505816947533061,-0.7740543868748108,-0.09351009828549992,1
Tuolumne River Trail,Yosemite National Park,Yosemite Valley,California,United States,7.5371,5471.756,74.9808,1,out and back,,4.5,10,2043,6,749,92,66,49,-1.7280558000044683,0.12692710340345295,-0.7810144152655395,-0.5628853720352397,1
Waterwheel Falls Trail,Yosemite National Park,Yosemite Valley,California,United States,7.5201,57936.24,1865.9856,3,out and back,2.0,4.5,12,2043,6,749,92,71,65,-0.8687071133548548,-1.5875598179190091,1.8653230924223043,-0.4032581312529793,2
May Lake to Glen Aulin Trail,Yosemite National Park,Yosemite Valley,California,United States,7.4419,35083.612,1104.9,3,out and back,2.0,4.5,6,2043,6,749,92,79,74,-1.1326756236227018,-0.8088492822327097,1.278368854424488,-0.9634580253124194,2
McGurk Meadow Trail,Yosemite National Park,Yosemite Valley,California,United States,7.4263,5632.69,134.7216,1,out and back,1.0,4.0,33,2043,6,749,92,66,65,-1.6388256439178963,0.115837804580544,-0.6033668305364627,-1.0598725678850776,1
Lukens Lake Trail,Yosemite National Park,Yosemite Valley,California,United States,7.3937,3540.548,87.7824,1,out and back,2.0,4.5,18,2043,6,749,92,74,65,-1.7023966397796058,0.31985987154534035,-0.459771420289466,-1.136105586136249,1
